Saved a vector of reachable workspace points.
X	Y
25	475
32.6146	468.518
28.872	465.78
28.3297	465.571
26.0383	465.054
24.9948	465
31.4661	467.372
29.8062	466.231
31.6534	467.535
30.7663	466.83
32.8553	468.812
32.39	468.263
33.3974	469.57
31.3653	467.288
28.5285	465.643
34.4577	471.751
27.331	465.275
30.815	466.865
25.4206	465.009
27.332	465.276
34.9873	475.504
34.9461	473.963
26.3482	465.091
32.5755	468.472
26.5196	465.116
25.2133	465.002
33.8548	470.353
34.2359	471.166
33.7455	470.151
32.7422	468.671
27.8748	465.422
24.7535	465.003
31.9014	467.763
34.9874	474.498
29.6209	466.132
28.8779	465.783
29.1558	465.904
25.2785	465.004
33.4857	469.709
34.9718	474.25
32.4489	468.328
34.4609	471.761
32.8557	468.812
25.2081	465.002
31.3536	467.278
28.5064	465.635
25.3661	465.007
33.4941	469.723
34.2056	471.094
26.4099	465.1
31.578	467.468
33.9671	470.574
34.9849	475.549
28.4667	465.62
34.2029	471.088
27.2403	465.254
27.6219	465.35
32.9095	468.881
33.9501	470.539
30.6135	466.724
28.9531	465.815
27.7837	465.395
31.269	467.209
34.8624	473.347
32.8435	468.797
30.4435	466.611
34.3156	471.364
25.2254	465.003
33.9348	470.509
32.4052	468.28
30.0851	466.389
34.2086	471.101
29.1512	465.902
29.0849	465.872
33.1742	469.24
34.9964	475.269
34.9992	474.874
24.7437	465.003
31.0838	467.064
34.1931	471.065
34.7215	472.657
34.3247	471.387
32.662	468.574
28.4394	465.61
31.0104	467.008
24.8723	465.001
33.4621	469.672
31.6275	467.512
31.9402	467.8
31.7215	467.596
34.3679	471.501
32.4816	468.365
32.4027	468.277
34.9504	474.005
34.9998	474.938
34.7867	472.945
34.0394	470.724
32.1268	467.985
31.2031	467.156
31.3336	467.261
34.9331	473.845
30.0719	466.382
34.1775	471.029
24.7389	465.003
30.0812	466.387
33.4282	469.618
29.9353	466.303
26.501	465.113
31.952	482.188
32.5004	468.386
31.5838	467.473
32.62	468.524
20.7029	465.97
33.7968	470.244
34.9999	475.034
26.5534	465.121
24.3781	465.019
32.4162	468.292
34.5779	472.125
32.1625	468.022
33.6336	469.954
25.0786	465
24.9749	465
30.6726	466.765
25.3	465.004
34.998	475.2
32.4609	468.342
33.7567	470.171
34.2483	471.196
30.0411	466.364
32.124	467.982
25.5943	465.018
31.6685	467.548
27.1965	465.244
32.5295	468.419
34.9605	474.112
34.9704	474.231
32.1095	467.968
32.4221	468.298
31.029	467.022
31.3119	467.244
34.6605	472.417
33.4003	469.575
34.4411	471.704
27.398	465.292
30.0718	466.382
27.9552	465.447
31.6517	467.533
34.9571	475.926
33.8884	470.418
26.9835	465.199
31.0633	467.048
33.7925	470.236
30.3533	466.554
30.4905	466.642
33.8051	470.26
34.0702	470.789
26.4878	465.111
33.7304	470.124
34.873	473.411
25.6955	465.024
34.8155	473.088
33.4268	469.616
29.979	466.328
25.0587	465
34.28	471.274
32.621	468.525
32.2483	468.111
32.6991	468.618
33.4643	469.675
28.6343	465.684
33.1129	469.154
34.9808	475.619
31.2011	467.155
29.9276	466.298
27.4813	465.313
32.1158	467.974
33.3692	469.527
33.6808	470.036
29.5347	466.087
32.9946	468.993
32.3495	468.219
34.9925	475.387
30.8532	466.892
31.769	467.639
27.2492	465.256
27.371	465.285
25.7418	465.028
26.6702	465.14
31.9972	467.856
33.1573	469.216
33.7617	470.18
32.892	468.859
32.216	468.077
33.9366	470.513
34.9722	475.746
26.7142	465.148
30.3427	466.547
29.8203	466.238
32.4207	468.297
31.9952	467.854
26.1725	465.069
34.4608	471.761
31.708	467.584
24.7536	465.003
32.239	468.101
30.7096	466.79
31.5576	467.45
31.7325	467.606
27.2877	465.265
24.6691	465.005
32.4361	468.314
32.3648	468.235
33.6332	469.953
27.469	465.31
27.2669	465.26
34.9982	474.808
34.3889	471.558
29.45	466.045
28.4745	465.623
34.897	473.568
26.6556	465.138
31.7205	467.595
28.2529	465.544
31.6759	467.555
29.8852	466.274
33.5358	469.79
30.997	466.998
34.7778	472.904
34.9326	473.841
34.9844	474.442
32.0498	467.908
31.2785	467.217
33.6264	469.942
29.655	466.15
34.9241	473.77
32.6932	468.611
26.4476	465.105
30.5915	466.709
31.5445	467.439
34.9569	474.073
31.3419	467.268
32.8851	468.85
32.7657	468.7
34.4026	471.595
28.3523	465.579
30.9269	466.946
34.9996	475.088
25.3258	465.005
27.0283	465.208
19.6611	466.544
34.1755	471.024
31.6862	467.564
24.7153	465.004
34.3895	471.559
34.9968	474.747
33.7309	470.124
34.7865	472.945
24.0733	465.043
34.999	475.141
28.1133	465.497
32.5409	468.432
33.0622	469.084
31.3082	467.241
26.7114	465.148
27.4007	465.292
30.1459	466.426
31.2316	467.179
27.5287	465.325
34.2563	471.216
28.7168	465.716
33.5433	469.803
31.5999	467.487
33.6645	470.007
34.9236	473.766
34.8644	473.359
27.6341	465.353
16.3573	469.97
27.7117	465.375
29.4664	466.053
27.7302	465.38
33.3094	469.436
19.8646	466.419
34.5059	471.896
32.8472	468.802
34.0951	470.843
26.8841	465.179
34.148	470.961
30.3194	466.532
31.5237	467.421
31.6876	467.565
33.3491	469.496
34.6776	477.519
27.8604	465.418
33.1139	469.155
26.0589	465.056
29.3203	465.981
34.7807	472.917
31.4862	467.389
28.4797	465.625
32.023	467.881
31.9104	467.772
29.825	466.241
27.1668	465.238
26.6934	465.144
33.8568	470.357
33.9789	470.598
34.9942	474.66
