First viable solution . This file contains vector of points of the generated path.
X	Y
27.3892	31.5194
38.4801	45.2261
49.5719	61.8686
60.6637	78.5111
71.7555	95.1536
82.8472	111.796
88.3931	120.117
88.3931	120.117
99.4849	136.76
99.4849	136.76
105.031	145.081
114.026	162.754
119.454	171.152
118.187	190.801
122.08	200.012
131.402	217.703
137.506	236.376
142.062	255.202
142.322	261.957
143.579	280.582
151.997	298.725
160.414	316.867
168.831	335.01
168.831	335.01
173.04	344.081
185.56	358.576
189.897	367.587
200.86	378.396
209.771	396.302
217.419	418.343
225.516	439.534
229.094	461.048
237.03	483.667
238.247	500.777
244.161	519.745
245.007	539.701
254.312	552.12
264.768	566.645
270.775	585.25
279.808	601.794
283.839	613.37
282.337	633.422
284.123	656.878
282.576	678.091
281.185	687.994
279.221	706.569
276.453	716.148
276.284	734.94
276.086	751.838
267.787	770.621
257.794	791.622
257.004	793.188
246.326	806.586
233.957	817.081
220.273	829.036
200.951	839.013
181.436	854.402
172.73	866.322
164.795	872.407
146.344	878.829
140.27	887.96
134.305	891.693
113.285	904.665
94.8353	917.808
79.8308	928.176
72.8692	931.942
65.2688	938.288
56.8834	944.868
38.4811	961.284
25	975
