First viable solution . This file contains vector of points of the generated path.
X	Y
468.715	27.9889
449.768	27.1239
440.371	34.1856
421.674	37.2785
402.049	34.5515
387.547	34.2167
372.518	33.6335
358.067	35.353
338.622	34.8951
319.025	37.5027
299.908	37.0083
293.582	35.7173
272.441	42.0789
253.681	45.3666
233.843	46.7153
228.166	58.3477
203.478	59.4112
184.023	67.7466
167.574	77.0587
156.655	85.8206
145.097	107.484
124.62	109.883
125.355	129.66
136.22	151.602
146.671	173.005
169.161	179.559
170.308	202.231
181.071	219.024
179.884	233.935
189.123	251.897
197.856	265.843
219.619	273.778
236.244	290.382
250.268	306.873
264.252	319.335
284.432	328.763
302.215	327.417
315.113	328.37
332.136	332.084
348.844	347.133
356.071	363.2
356.892	382.452
350.575	401.411
343.471	400.21
323.908	404.717
310.307	407.511
294.819	409.89
274.12	413.992
253.615	413.236
237.088	411.149
224.563	410.283
209.648	412.677
195.767	410.176
183.014	411.036
160.829	413.184
141.621	422.517
119.88	432.634
107.972	434.489
85.5119	442.076
68.5123	449.963
49.3867	459.993
33.0514	469.069
25	475
