First viable solution . This file contains vector of points of the generated path.
X	Y
22.2569	140.652
28.7776	133.348
44.4546	119.987
67.5426	115.398
86.5402	125.821
97.3627	131.743
116.571	146.277
136.571	155.619
156.005	155.612
175.821	154.66
192.367	161.77
212.717	163.405
222.714	163.16
238.798	163.593
258.943	159.914
283.186	156.557
307.151	154.394
317.083	155.559
340.378	159.591
353.964	170.938
363.716	193.88
364.21	210.12
359.489	229.121
361.93	238.137
359.401	253.788
359.187	278.588
364.263	301.558
364.189	318.8
370.12	337.163
368.531	356.862
364.143	370.223
366.421	384.754
354.511	404.908
344.531	404.267
327.579	406.637
308.357	406.051
283.426	405.259
270.492	406.675
245.994	410.386
223.434	412.925
203.024	419.024
190.234	420.243
170.56	425.761
147.903	428.943
126.587	435.441
114.378	439.931
91.2793	443.995
86.1759	445.111
63.4299	451.202
49.9865	465.166
40.0332	466.131
25	475
