First viable solution . This file contains vector of points of the generated path.
X	Y
32.0371	22.4974
51.9723	35.2652
62.2359	51.2136
71.6165	72.1259
74.1297	88.4103
79.3655	106.214
88.8271	120.004
83.8185	137.143
79.3228	160.418
77.5481	179.771
75.5091	189.561
63.5392	209.711
53.5695	223.829
52.2384	243.458
58.6211	259.857
56.8527	278.546
58.5524	298.292
58.26	308.287
57.9798	318.283
55.5813	338.102
55.2393	358.088
53.616	377.693
54.3696	387.665
56.6782	407.145
56.5073	417.144
52.3785	440.576
43.1379	457.661
29.4383	466.039
25	475
