Saved a vector of rrt <nodes> points.
X	Y
490	490
482.303	483.616
474.424	477.458
464.633	475.423
454.641	475.817
489.768	476.962
444.641	475.757
434.664	476.425
489.427	466.968
424.747	475.14
414.747	475.235
405.029	477.592
413.415	465.324
407.056	457.607
489.564	456.969
409.646	447.948
404.59	439.321
400.876	430.036
401.827	420.081
392.482	416.521
384.132	411.02
376.119	405.036
372.019	395.915
363.81	390.206
361.586	380.456
354.745	394.429
345.06	391.939
337.288	398.232
328.226	402.459
322.939	393.971
316.616	386.224
309.134	379.589
319.218	406.801
309.967	369.624
309.468	409.024
301.179	364.853
366.769	408.582
301.356	354.854
391.483	408.241
292.358	350.493
307.173	346.72
286.936	342.09
304.786	417.86
494.102	477.452
279.806	335.078
276.02	325.822
273.521	316.14
302.799	427.661
265.369	310.348
265.714	300.354
257.554	294.573
247.821	296.868
244.511	287.432
241.195	277.997
313.686	339.132
323.142	403.078
235.08	290.757
303.522	409.376
365.073	384.443
300.944	437.487
396.155	482.203
225.835	294.569
216.086	296.797
332.229	411.623
206.439	294.166
198.415	300.134
188.897	303.204
410.855	415.781
272.337	292.862
279.83	286.239
179.127	301.074
319.727	331.163
175.129	291.908
287.601	279.946
172.626	308.673
164.401	314.361
155.727	319.337
481.412	451.176
145.752	320.046
291.123	439.375
166.547	286.775
168.154	276.905
290.073	270.257
290.252	260.258
391.254	420.231
299.864	257.5
282.813	433.812
416.692	407.661
204.029	284.461
286.451	251.009
282.165	241.974
421.064	398.668
304.705	446.753
294.211	422.538
330.719	387.688
136.68	324.253
424.533	389.289
289.026	234.698
285.227	225.447
293.019	219.178
408.428	402.03
126.728	323.281
320.816	387.22
168.697	283.021
288.991	210.025
275.136	427.404
285.447	200.674
303.016	218.938
287.806	190.957
309.717	255.795
450.741	478.858
120.626	315.358
310.842	212.713
281.773	182.981
287.402	174.716
294.53	167.702
162.743	290.317
280.389	167.588
110.749	316.924
429.479	380.597
159.43	291.125
102.059	311.977
303.813	163.985
201.949	309.489
94.4969	318.52
89.6198	327.251
278.664	157.738
478.724	441.544
417.012	484.348
317.96	261.457
372.498	377.745
80.1123	330.35
439.184	378.185
320.606	210.552
92.1897	336.915
94.3904	346.67
330.349	208.3
340.334	208.843
308.598	155.204
392.993	491.69
98.0836	302.801
270.957	308.192
88.9947	355.089
307.492	145.265
101.777	293.508
272.181	185.806
317.083	142.432
317.319	132.435
347.554	201.925
413.123	461.562
96.8471	284.808
262.826	189.34
91.4293	364.788
324.328	125.303
111.94	306.995
298.923	454.912
383.18	493.614
99.938	370.042
401.84	425.075
331.629	118.469
291.867	461.998
254.307	185.802
282.227	464.656
357.493	200.827
83.6944	371.126
244.403	184.422
359.11	415.012
417.899	473.328
283.513	316.532
292.575	320.762
229.584	300.994
336.606	109.796
235.998	179.002
293.841	246.816
309.843	125.793
302.618	118.88
310.958	376.133
295.015	112.383
283.675	276.901
346.471	111.435
105.536	378.328
340.305	119.701
355.239	106.627
481.507	495.279
285.111	241.332
362.374	209.556
79.8943	355.939
429.529	403.991
277.845	473.645
277.92	256.226
288.118	105.142
361.704	98.9978
299.29	361.935
389.179	475.038
371.702	99.2237
295.496	286.084
86.8639	285.388
303.754	207.041
82.9038	276.205
243.245	305.759
197.157	277.197
103.662	388.151
83.6221	370.864
275.314	224.135
333.658	421.52
80.2792	266.556
374.735	89.6947
279.407	100.231
274.735	91.3894
376.729	107.868
277.106	81.6746
145.998	310.049
375.672	79.7387
115.532	378.619
294.857	453.648
259.746	318.618
77.2596	378.781
275.133	100.514
99.8613	395.224
370.176	215.812
228.765	185.907
221.927	193.204
79.0694	256.629
101.345	405.113
265.526	97.7383
441.354	387.947
78.6814	246.637
330.946	218.282
373.2	494.252
303.804	291.65
87.3025	241.57
