Saved a vector of rrt <nodes> points.
X	Y
25	475
27.5076	465.319
37.5006	464.945
46.1838	459.985
48.3211	450.216
56.2543	448.551
61.6327	440.121
55.3094	432.374
70.5405	435.576
51.3435	423.194
55.1169	413.933
79.4003	430.939
89.326	429.723
80.5072	436.391
94.2764	421.034
53.6292	413.459
99.3001	429.003
98.222	411.845
85.6617	423.142
103.868	403.592
105.822	405.347
43.7922	415.256
84.0459	431.864
102.23	402.684
103.313	425.317
115.813	404.914
125.408	402.098
135.365	401.168
53.1361	403.471
143.556	406.904
151.18	400.432
161.042	402.087
153.384	408.751
109.151	427.282
135.346	400.985
160.665	401.896
158.714	417.213
98.8973	426.826
171.042	402.103
178.786	408.43
188.504	406.071
197.624	401.97
72.0708	436.012
161.257	426.884
198.472	405.273
208.453	404.649
200.048	415.148
218.269	406.554
151.445	428.816
208.312	403.488
218.444	405.061
226.989	411.451
49.0919	413.451
