Saved a vector of rrt <nodes> points.
X	Y
250	250
256.761	257.368
264.779	263.344
250.199	264.913
269.028	272.396
254.549	241.095
240.56	267.578
236.158	276.556
227.835	282.099
232.233	262.041
217.836	282.268
207.853	282.856
262.456	234.973
259.45	225.436
201.448	275.177
278.771	270.141
192.553	279.745
286.545	276.432
185.334	272.824
181.738	282.155
296.314	274.299
260.425	215.483
253.269	208.498
177.813	266.234
180.967	292.125
269.268	210.814
302.597	282.079
266.944	282.177
175.761	300.663
253.61	198.504
176.473	256.324
165.818	301.734
277.604	205.292
309.696	289.123
227.063	292.069
254.957	188.595
317.48	282.845
285.492	199.145
312.121	298.824
170.51	248.297
160.091	309.932
154.027	317.883
144.653	321.366
326.748	279.09
165.908	239.418
255.255	178.599
329.151	269.383
143.77	331.327
160.176	231.224
134.704	320.361
257.762	168.919
318.971	306.11
258.985	158.994
281.546	214.482
154.425	223.043
336.478	281.397
150.184	213.987
138.942	340.085
125.286	316.999
294.797	195.482
302.404	188.991
138.762	350.083
120.779	308.072
255.2	149.738
310.389	182.97
325.407	313.763
252.245	140.184
129.074	352.564
337.803	264.37
317.458	319.831
185.565	252.159
320.209	181.08
161.44	324.595
125.548	361.922
140.19	213.67
135.261	204.969
248.504	130.91
121.646	371.129
127.598	198.544
122.788	189.777
111.224	305.124
158.515	208.455
239.852	125.896
318.274	329.797
346.203	283.726
327.991	174.801
121.624	179.845
118.032	170.512
264.444	291.859
268.857	300.833
355.109	279.177
304.211	304.942
337.488	171.669
108.698	174.101
103.117	165.804
327.693	333.156
123.015	381.035
363.833	274.29
372.541	269.373
378.758	277.205
126.019	390.573
347.061	168.778
151.896	236.832
387.627	272.585
328.424	343.129
128.615	400.23
238.122	116.047
332.834	352.104
100.574	156.133
91.8591	151.228
356.706	166.136
120.292	405.774
237.857	106.051
397.31	270.088
202.103	291.038
342.024	356.047
401.505	279.165
121.675	361.291
228	302.025
106.158	147.837
106.439	137.841
246.258	100.626
405.86	288.167
228.997	101.413
363.337	158.651
110.403	407.262
165.09	200.92
129.424	337.018
219.991	97.0682
259.941	305.363
413.643	294.446
123.528	162.158
419.477	302.568
245.269	178.07
423.637	311.662
351.779	292.028
362.708	148.671
276.189	307.633
254.688	95.2467
102.832	128.514
347.564	364.372
106.026	119.038
326.604	359.927
112.073	417.122
146.882	355.92
264.58	93.7797
310.804	177.373
374.701	259.609
407.65	302.452
273.466	89.1931
372.279	145.776
119.962	423.268
374.135	249.625
433.423	309.607
332.355	163.087
272.913	79.2084
374.718	136.077
338.185	359.023
98.4715	112.486
437.654	318.668
355.773	370.083
100.757	404.627
258.91	212.159
384.692	135.363
296.514	311.326
108.758	295.432
110.681	169.601
391.214	127.782
119.815	430.895
89.8867	107.357
129.633	154.238
376.185	135.238
364.029	172.945
364.968	245.629
81.6855	113.079
318.22	365.377
442.936	327.159
417.744	319.742
154.602	362.275
252.137	311.615
73.954	106.737
397.67	120.146
327.021	188.401
394.497	118.852
64.7682	102.785
113.006	438.219
406.267	115.038
62.017	93.1706
102.347	309.729
210.523	93.849
65.1457	83.6726
266.578	233.343
71.4189	75.885
105.847	105.733
262.445	161.47
259.247	164.591
114.401	448.121
109.872	96.5789
314.209	318.554
119.35	99.7671
404.285	105.237
98.7731	128.054
278.589	97.7808
412.872	122.547
104.982	451.479
110.06	293.044
410.877	97.7169
318.018	375.375
120.622	205.709
448.001	335.782
75.6231	66.8117
451.785	345.038
446.459	353.502
69.6913	61.8707
81.8945	150.387
92.3483	309.89
319.762	385.222
122.799	453.55
321.462	387.5
433.186	329.385
422.54	119.99
362.421	182.815
318.459	397.038
52.0267	92.7317
256.396	127.179
162.504	356.146
170.165	362.573
90.8394	403.342
81.3514	58.615
211.773	83.9274
311.266	403.984
141.679	316.909
371.977	185.762
219.028	278.541
392.469	141.65
399.356	148.9
449.233	363.11
104.706	300.43
129.231	101.303
397.367	293.447
420.077	93.7988
332.97	255.615
365.683	371.418
379.181	250.52
324.193	157.308
156.971	371.99
100.837	180.282
61.8232	55.6988
262.108	256.345
397.64	97.7639
250.251	137.235
453.94	371.933
428.878	127.725
131.332	91.5261
426.54	86.1676
446.007	378.022
387.88	245.588
439.127	301.393
112.32	211.283
179.653	365.733
131.801	457.904
316.275	412.639
205.247	102.344
82.5225	308.032
222.988	258.23
92.1214	185.184
326.401	147.831
427.185	111.134
163.597	348.671
344.969	353.229
53.5128	50.1365
427.121	304.93
174.111	196.606
461.645	346.704
390.242	235.871
309.105	368.064
310.055	420.47
288.467	96.2233
397.09	228.584
398.772	303.889
299.485	320.874
322.389	278.316
316.598	428.032
127.652	419.126
393.149	88.8287
72.5598	307.169
298.459	95.8235
266.215	229.403
131.582	180.762
127.115	406.907
406.443	225.044
119.15	462.861
84.1577	49.0168
302.66	171.571
221.057	80.2107
281.053	212.07
438.802	126.498
136.13	322.273
308.102	358.114
325.626	284.703
371.575	195.754
356.288	292.818
278.993	191.545
298.451	328.044
73.6198	98.9963
64.9662	313.676
110.643	86.6087
468.882	339.803
111.735	360.19
407.294	273.166
433.703	79.1903
448.507	304.861
58.0218	306.48
134.045	81.9012
109.744	283.049
180.108	375.723
171.121	380.11
46.116	43.407
154.373	377.738
379.178	202.251
326.439	429.809
416.416	225.776
303.749	87.3368
189.314	363.152
