Obstacles. Obstacles are stored as rectangles. Rectangle is denoted by two points; top left and bottom right.
Top Left X	Top Left X Y	Bottom Right X	Bottom Right Y
25	25	75	75
125	25	175	75
225	25	275	75
325	25	375	75
425	25	475	75
525	25	575	75
625	25	675	75
725	25	775	75
825	25	875	75
925	25	975	75
1025	25	1075	75
1125	25	1175	75
1225	25	1275	75
1325	25	1375	75
1425	25	1475	75
25	125	75	175
125	125	175	175
225	125	275	175
325	125	375	175
425	125	475	175
525	125	575	175
625	125	675	175
725	125	775	175
825	125	875	175
925	125	975	175
1025	125	1075	175
1125	125	1175	175
1225	125	1275	175
1325	125	1375	175
1425	125	1475	175
25	225	75	275
125	225	175	275
225	225	275	275
325	225	375	275
425	225	475	275
525	225	575	275
625	225	675	275
725	225	775	275
825	225	875	275
925	225	975	275
1025	225	1075	275
1125	225	1175	275
1225	225	1275	275
1325	225	1375	275
1425	225	1475	275
25	325	75	375
125	325	175	375
225	325	275	375
325	325	375	375
425	325	475	375
525	325	575	375
625	325	675	375
725	325	775	375
825	325	875	375
925	325	975	375
1025	325	1075	375
1125	325	1175	375
1225	325	1275	375
1325	325	1375	375
1425	325	1475	375
25	425	75	475
125	425	175	475
225	425	275	475
325	425	375	475
425	425	475	475
525	425	575	475
625	425	675	475
725	425	775	475
825	425	875	475
925	425	975	475
1025	425	1075	475
1125	425	1175	475
1225	425	1275	475
1325	425	1375	475
1425	425	1475	475
25	525	75	575
125	525	175	575
225	525	275	575
325	525	375	575
425	525	475	575
525	525	575	575
625	525	675	575
725	525	775	575
825	525	875	575
925	525	975	575
1025	525	1075	575
1125	525	1175	575
1225	525	1275	575
1325	525	1375	575
1425	525	1475	575
25	625	75	675
125	625	175	675
225	625	275	675
325	625	375	675
425	625	475	675
525	625	575	675
625	625	675	675
725	625	775	675
825	625	875	675
925	625	975	675
1025	625	1075	675
1125	625	1175	675
1225	625	1275	675
1325	625	1375	675
1425	625	1475	675
25	725	75	775
125	725	175	775
225	725	275	775
325	725	375	775
425	725	475	775
525	725	575	775
625	725	675	775
725	725	775	775
825	725	875	775
925	725	975	775
1025	725	1075	775
1125	725	1175	775
1225	725	1275	775
1325	725	1375	775
1425	725	1475	775
25	825	75	875
125	825	175	875
225	825	275	875
325	825	375	875
425	825	475	875
525	825	575	875
625	825	675	875
725	825	775	875
825	825	875	875
925	825	975	875
1025	825	1075	875
1125	825	1175	875
1225	825	1275	875
1325	825	1375	875
1425	825	1475	875
25	925	75	975
125	925	175	975
225	925	275	975
325	925	375	975
425	925	475	975
525	925	575	975
625	925	675	975
725	925	775	975
825	925	875	975
925	925	975	975
1025	925	1075	975
1125	925	1175	975
1225	925	1275	975
1325	925	1375	975
1425	925	1475	975
25	1025	75	1075
125	1025	175	1075
225	1025	275	1075
325	1025	375	1075
425	1025	475	1075
525	1025	575	1075
625	1025	675	1075
725	1025	775	1075
825	1025	875	1075
925	1025	975	1075
1025	1025	1075	1075
1125	1025	1175	1075
1225	1025	1275	1075
1325	1025	1375	1075
1425	1025	1475	1075
25	1125	75	1175
125	1125	175	1175
225	1125	275	1175
325	1125	375	1175
425	1125	475	1175
525	1125	575	1175
625	1125	675	1175
725	1125	775	1175
825	1125	875	1175
925	1125	975	1175
1025	1125	1075	1175
1125	1125	1175	1175
1225	1125	1275	1175
1325	1125	1375	1175
1425	1125	1475	1175
25	1225	75	1275
125	1225	175	1275
225	1225	275	1275
325	1225	375	1275
425	1225	475	1275
525	1225	575	1275
625	1225	675	1275
725	1225	775	1275
825	1225	875	1275
925	1225	975	1275
1025	1225	1075	1275
1125	1225	1175	1275
1225	1225	1275	1275
1325	1225	1375	1275
1425	1225	1475	1275
25	1325	75	1375
125	1325	175	1375
225	1325	275	1375
325	1325	375	1375
425	1325	475	1375
525	1325	575	1375
625	1325	675	1375
725	1325	775	1375
825	1325	875	1375
925	1325	975	1375
1025	1325	1075	1375
1125	1325	1175	1375
1225	1325	1275	1375
1325	1325	1375	1375
1425	1325	1475	1375
25	1425	75	1475
125	1425	175	1475
225	1425	275	1475
325	1425	375	1475
425	1425	475	1475
525	1425	575	1475
625	1425	675	1475
725	1425	775	1475
825	1425	875	1475
925	1425	975	1475
1025	1425	1075	1475
1125	1425	1175	1475
1225	1425	1275	1475
1325	1425	1375	1475
1425	1425	1475	1475
