Obstacles. Obstacles are stored as rectangles. Rectangle is denoted by two points; top left and bottom right.
Top Left X	Top Left X Y	Bottom Right X	Bottom Right Y
0	0	50	50
100	0	150	50
200	0	250	50
300	0	350	50
400	0	450	50
500	0	550	50
600	0	650	50
700	0	750	50
800	0	850	50
900	0	950	50
1000	0	1050	50
1100	0	1150	50
1200	0	1250	50
1300	0	1350	50
1400	0	1450	50
0	100	50	150
100	100	150	150
200	100	250	150
300	100	350	150
400	100	450	150
500	100	550	150
600	100	650	150
700	100	750	150
800	100	850	150
900	100	950	150
1000	100	1050	150
1100	100	1150	150
1200	100	1250	150
1300	100	1350	150
1400	100	1450	150
0	200	50	250
100	200	150	250
200	200	250	250
300	200	350	250
400	200	450	250
500	200	550	250
600	200	650	250
700	200	750	250
800	200	850	250
900	200	950	250
1000	200	1050	250
1100	200	1150	250
1200	200	1250	250
1300	200	1350	250
1400	200	1450	250
0	300	50	350
100	300	150	350
200	300	250	350
300	300	350	350
400	300	450	350
500	300	550	350
600	300	650	350
700	300	750	350
800	300	850	350
900	300	950	350
1000	300	1050	350
1100	300	1150	350
1200	300	1250	350
1300	300	1350	350
1400	300	1450	350
0	400	50	450
100	400	150	450
200	400	250	450
300	400	350	450
400	400	450	450
500	400	550	450
600	400	650	450
700	400	750	450
800	400	850	450
900	400	950	450
1000	400	1050	450
1100	400	1150	450
1200	400	1250	450
1300	400	1350	450
1400	400	1450	450
0	500	50	550
100	500	150	550
200	500	250	550
300	500	350	550
400	500	450	550
500	500	550	550
600	500	650	550
700	500	750	550
800	500	850	550
900	500	950	550
1000	500	1050	550
1100	500	1150	550
1200	500	1250	550
1300	500	1350	550
1400	500	1450	550
0	600	50	650
100	600	150	650
200	600	250	650
300	600	350	650
400	600	450	650
500	600	550	650
600	600	650	650
700	600	750	650
800	600	850	650
900	600	950	650
1000	600	1050	650
1100	600	1150	650
1200	600	1250	650
1300	600	1350	650
1400	600	1450	650
0	700	50	750
100	700	150	750
200	700	250	750
300	700	350	750
400	700	450	750
500	700	550	750
600	700	650	750
700	700	750	750
800	700	850	750
900	700	950	750
1000	700	1050	750
1100	700	1150	750
1200	700	1250	750
1300	700	1350	750
1400	700	1450	750
0	800	50	850
100	800	150	850
200	800	250	850
300	800	350	850
400	800	450	850
500	800	550	850
600	800	650	850
700	800	750	850
800	800	850	850
900	800	950	850
1000	800	1050	850
1100	800	1150	850
1200	800	1250	850
1300	800	1350	850
1400	800	1450	850
0	900	50	950
100	900	150	950
200	900	250	950
300	900	350	950
400	900	450	950
500	900	550	950
600	900	650	950
700	900	750	950
800	900	850	950
900	900	950	950
1000	900	1050	950
1100	900	1150	950
1200	900	1250	950
1300	900	1350	950
1400	900	1450	950
0	1000	50	1050
100	1000	150	1050
200	1000	250	1050
300	1000	350	1050
400	1000	450	1050
500	1000	550	1050
600	1000	650	1050
700	1000	750	1050
800	1000	850	1050
900	1000	950	1050
1000	1000	1050	1050
1100	1000	1150	1050
1200	1000	1250	1050
1300	1000	1350	1050
1400	1000	1450	1050
0	1100	50	1150
100	1100	150	1150
200	1100	250	1150
300	1100	350	1150
400	1100	450	1150
500	1100	550	1150
600	1100	650	1150
700	1100	750	1150
800	1100	850	1150
900	1100	950	1150
1000	1100	1050	1150
1100	1100	1150	1150
1200	1100	1250	1150
1300	1100	1350	1150
1400	1100	1450	1150
0	1200	50	1250
100	1200	150	1250
200	1200	250	1250
300	1200	350	1250
400	1200	450	1250
500	1200	550	1250
600	1200	650	1250
700	1200	750	1250
800	1200	850	1250
900	1200	950	1250
1000	1200	1050	1250
1100	1200	1150	1250
1200	1200	1250	1250
1300	1200	1350	1250
1400	1200	1450	1250
0	1300	50	1350
100	1300	150	1350
200	1300	250	1350
300	1300	350	1350
400	1300	450	1350
500	1300	550	1350
600	1300	650	1350
700	1300	750	1350
800	1300	850	1350
900	1300	950	1350
1000	1300	1050	1350
1100	1300	1150	1350
1200	1300	1250	1350
1300	1300	1350	1350
1400	1300	1450	1350
0	1400	50	1450
100	1400	150	1450
200	1400	250	1450
300	1400	350	1450
400	1400	450	1450
500	1400	550	1450
600	1400	650	1450
700	1400	750	1450
800	1400	850	1450
900	1400	950	1450
1000	1400	1050	1450
1100	1400	1150	1450
1200	1400	1250	1450
1300	1400	1350	1450
1400	1400	1450	1450
