 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
10	10
12.5099	10.3207
22.4293	11.588
32.3486	12.8553
42.268	14.1226
52.1874	15.3899
62.1068	16.6572
72.0261	17.9245
82.3432	36.7783
87.4889	52.002
96.8752	61.8838
105.958	71.7434
119.536	78.8424
139.92	88.1658
158.272	101.948
169.565	110.425
187.972	125.439
196.841	143.442
201.266	151.995
206.896	169.398
227.767	177.531
238.952	181.098
245.479	184.939
267.689	192.693
280.606	203.989
292.545	219.318
299.665	238.394
306.717	260.751
315.207	274.488
335.712	279.652
338.332	292.958
350.794	305.479
369.402	310.972
377.652	323.104
386.832	336.581
402.473	355.517
417.32	374.308
439.144	385.83
447.937	406.408
458.74	418.106
477.954	425.093
491.434	439.576
508.092	456.622
516.409	470.153
526.022	478.004
545.763	483.023
568.826	489.479
572.914	513.806
582.614	531.293
593.059	552.671
605.078	565.95
613.761	576.632
626.161	593.873
628.233	608.821
652.824	608.273
673.441	613.066
691.206	621.163
700.855	637.678
710.253	658.995
716.015	675.145
724.602	690.017
738.295	695.306
754.998	704.29
764.002	708.641
782.307	717.797
792.239	730.314
795.063	740.503
813.345	757.554
820.738	769.373
832.636	790.057
848.542	802.772
852.257	807.084
871.027	820.281
891.114	827.564
896.809	836.224
911.701	843.976
917.694	860.09
922.549	876.819
942.948	890.795
959.706	903.592
974.336	913.642
989.439	925.135
999.307	945.151
1012.35	960.578
1023.32	975.626
1037.14	992.812
1049.56	1004.33
1067.22	1016.96
1075.85	1022.02
1077.64	1031.86
1092.39	1048.83
1107.29	1062.68
1112.77	1070.74
1128.44	1089.75
1138.44	1096.67
1159.27	1099.48
1171.37	1118.68
1177.52	1126.57
1190.48	1144.97
1205.21	1161.61
1215.33	1178.23
1234.1	1190.2
1251.32	1205.19
1257.33	1210.17
1275.11	1218.14
1284.24	1229.43
1298.74	1247.24
1301.8	1250.82
1316.32	1269.66
1330.05	1283.54
1346.72	1296.96
1358.48	1307.58
1377.33	1323
1388.26	1336.25
1395.18	1342.89
1409.13	1357.86
1420.87	1371.89
1432.99	1386.28
1449.69	1404.17
1461.95	1410.22
1475.35	1418.23
1476.44	1435.89
1475.93	1448.21
1481.35	1467.36
1490	1490
