 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
19.4561	31.6278
37.0656	44.9886
39.2655	59.8477
43.7301	84.0492
49.8831	106.292
52.1876	114.316
65.621	128.974
86.3221	137.575
100.318	150.494
107.866	158.876
124.948	169.982
141.447	185.597
150.912	195.167
161.524	216.427
167.211	228.1
173.35	246.25
171.095	262.601
167.732	283.379
175.802	297.955
179.594	316.004
183.02	335.016
187.04	359.053
197.554	378.841
200.366	388.437
207.36	409.593
211.481	434.124
208.258	454.065
209.569	477.637
211.133	491.399
213.184	507.725
212.093	529.483
217.546	543.409
219.381	554.845
224.21	574.524
230.958	589.819
235.29	601.33
222.178	615.582
206.235	627.681
204.297	650.948
207.248	656.737
215.093	674.914
204.053	682.862
193.962	690.462
176.87	704.198
179.669	718.352
167.405	739.361
157.903	730.952
155.891	752.701
138.953	765.429
141.912	776.179
147.255	798.077
135.043	805.598
122.567	820.309
129.978	838.978
129.009	853.01
129.561	867.417
131.675	886.693
134.239	907.042
129.706	922.552
129.261	945.315
131.117	960.795
131.629	974.721
128.911	996.024
122.329	1011.98
122.733	1036.33
127.189	1044.97
129.312	1068.34
126.128	1081.42
128.635	1105.34
127.963	1118.79
130.895	1134.13
135.816	1153.74
137.121	1172.5
136.735	1183.04
136.992	1199.58
133.181	1220.71
126.085	1232.04
122.806	1251.95
110.243	1259.59
102.039	1272.64
93.5448	1291.72
97.4053	1315.66
95.7589	1325.98
88.4732	1347.95
87.2518	1363.7
85.7405	1375.61
80.444	1398.16
68.0402	1416.12
54.5476	1434.81
41.7875	1451.2
35.8417	1459.24
25	1475
