 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
32.0371	22.4974
51.9723	35.2652
62.4912	53.9202
68.6192	69.4498
74.1297	88.4103
79.3655	106.214
88.8271	120.004
84.9999	136.231
79.3228	160.418
77.5481	179.771
75.5091	189.561
63.5392	209.711
53.5695	223.829
52.2384	243.458
51.3204	253.533
54.303	268.877
56.3627	288.534
56.0095	304.453
57.3849	328.266
55.0813	348.089
55.2393	358.088
53.616	377.693
54.3696	387.665
56.6782	407.145
56.5073	417.144
52.3785	440.576
43.1379	457.661
29.4383	466.039
25	475
