 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
466.716	20.4656
452.787	21.0428
431.8	24.4967
421.988	26.5624
399.783	30.4702
387.888	33.7975
374.421	36.4477
353.504	44.0573
338.533	45.2182
314.466	48.8591
298.819	51.5082
285.459	57.7076
269.01	60.1314
248.027	65.1405
225.361	72.2033
207.837	77.8461
185.227	83.156
171.573	86.6129
154.556	90.5268
146.59	105.084
149.838	124.866
147.698	145.866
155.581	161.173
158.081	163.386
177.222	178.813
193.936	195.926
200.949	201.942
211.18	212.605
219.023	219.617
235.378	232.442
246.921	243.014
256.547	253.723
267.974	268.597
277.355	279.362
293.72	291.861
311.55	307.651
320.518	317.095
335.942	333.653
346.645	344.729
352.163	353.365
353.782	377.092
352.25	400.897
337.607	405.937
315.116	412.167
294.719	417.37
277.629	422.447
253.957	426.273
248.092	426.945
242.695	428.813
222.67	434.279
205.683	435.832
193.102	439.02
171.042	445.121
153.699	448.212
137.014	451.11
113.652	456.967
100.613	459.593
83.7135	463.865
65.4797	468.942
41.5196	472.07
25	475
