Saved a vector of reachable workspace points.
X	Y
25	475
34.9079	476.354
29.7172	466.183
44.6041	473.908
50.7679	466.034
52.4427	456.175
54.6094	446.413
51.6479	436.861
54.0683	427.158
63.3105	423.34
62.7433	413.356
69.9748	406.449
79.2736	402.77
77.369	413.182
60.5524	468.099
81.7165	404.176
88.9785	400.359
89.2695	403.057
70.4632	466.767
61.8404	459.593
98.5312	403.316
99.1772	401.701
42.3197	433.258
53.2135	446.452
106.519	409.332
113.854	416.13
123.849	415.818
115.624	413.468
60.7383	402.617
133.821	415.074
64.0367	426.364
110.235	400.048
139.837	407.086
125.027	425.748
143.819	414.868
131.023	433.75
140.32	437.435
34.8111	471.884
151.118	408.033
44.0315	430.381
147.574	430.552
62.3133	441.304
160.969	406.313
137.491	447.027
60.3687	403.67
160.664	405.054
170.589	403.825
143.919	454.688
170.836	407.938
178.443	401.447
188.224	403.531
129.249	414.53
198.042	401.633
146.609	451.133
208.005	400.774
69.4698	472.624
163.988	403.572
198.46	411.624
207.33	407.007
