Saved a vector of reachable workspace points.
X	Y
25	475
120.075	416.859
120.075	416.859
257.861	415.834
52.6456	442.338
52.6456	442.338
52.6456	442.338
52.6456	442.338
56.0354	429.705
56.0354	429.705
283.174	414.713
283.174	414.713
283.174	414.713
283.174	414.713
333.509	414.118
370.934	241.726
340.666	411.968
47.0738	409.763
47.0738	409.763
126.917	410.959
386.827	367.325
288.469	433.555
288.469	433.555
100.558	416.981
396.938	227.933
396.938	227.933
396.938	227.933
392.429	276.959
392.429	276.959
389.186	389.712
374.623	398.218
374.623	398.218
374.623	398.218
374.623	398.218
399.231	437.893
399.231	437.893
366.433	279.205
264.886	413.125
62.2752	428.224
62.2752	428.224
317.203	165.447
47.1416	425.133
47.1416	425.133
47.1416	425.133
382.774	424.156
255.679	429.387
399.398	174.267
224.724	460.97
224.724	460.97
224.724	460.97
224.724	460.97
394.74	283.034
355.218	402.361
45.9778	486.046
371.691	249.987
371.691	249.987
377.553	279.635
377.553	279.635
396.976	246.037
174.236	174.184
296.829	420.166
365.2	272.265
109.123	422.142
109.123	422.142
283.608	451.443
283.608	451.443
283.608	451.443
283.608	451.443
283.608	451.443
283.608	451.443
214.725	170.034
374.431	365.713
48.5335	436.074
427.846	176.577
399.04	285.387
399.04	285.387
399.04	285.387
178.431	406.259
178.431	406.259
178.431	406.259
327.326	300.909
360.666	452.899
398.598	410.237
394.295	435.166
418.069	199.697
418.069	199.697
418.069	199.697
186.557	455.129
186.557	455.129
186.557	455.129
186.557	455.129
306.699	189.376
291.78	444.334
291.78	444.334
291.78	444.334
291.78	444.334
291.33	193.162
337.316	162.262
337.316	162.262
337.316	162.262
29.8965	412.342
384.755	427.066
384.755	427.066
384.755	427.066
384.755	427.066
384.755	427.066
384.755	427.066
295.902	175.852
295.902	175.852
357.506	189.493
319.541	446.009
193.699	182.282
193.699	182.282
193.699	182.282
193.699	182.282
340.065	464.24
340.065	464.24
340.065	464.24
340.065	464.24
340.065	464.24
351.039	235.052
326.614	305.165
368.081	225.065
368.081	225.065
368.081	225.065
368.943	389.988
368.943	389.988
206.858	183.073
206.858	183.073
206.858	183.073
239.306	421.499
239.306	421.499
239.306	421.499
201.538	492.719
201.538	492.719
201.538	492.719
116.118	143.159
116.118	143.159
371.803	460.875
371.803	460.875
371.803	460.875
371.803	460.875
371.803	460.875
371.803	460.875
371.803	460.875
371.803	460.875
371.803	460.875
211.599	181.448
211.599	181.448
171.922	456.193
171.922	456.193
365.55	363.903
411.783	451.753
393.222	438.833
87.0572	203.658
76.7269	456.157
76.7269	456.157
76.7269	456.157
381.662	341.576
381.662	341.576
456.464	318.665
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
455.115	274.542
361.062	158.743
361.062	158.743
361.062	158.743
361.062	158.743
361.062	158.743
420.586	169.699
420.586	169.699
463.996	383.874
463.996	383.874
290.766	479.927
94.0854	128.426
94.0854	128.426
43.0231	440.514
362.757	415.639
362.757	415.639
362.757	415.639
362.757	415.639
362.757	415.639
427.301	367.989
132.999	171.001
132.999	171.001
132.999	171.001
359.782	182.046
126.505	428.579
126.505	428.579
199.176	153.858
273.451	439.619
273.451	439.619
273.451	439.619
273.451	439.619
273.451	439.619
451.154	374.344
451.154	374.344
451.154	374.344
345.785	163.982
345.785	163.982
345.785	163.982
345.785	163.982
345.785	163.982
154.334	177.856
154.334	177.856
196.445	435.082
196.445	435.082
423.314	303.671
423.314	303.671
155.4	159.455
78.0448	183.422
78.0448	183.422
346.881	168.726
346.881	168.726
346.881	168.726
346.881	168.726
362.542	396.456
362.542	396.456
290.838	161.104
290.838	161.104
300.077	476.507
133.055	79.156
133.055	79.156
387.71	461.754
387.71	461.754
387.71	461.754
121.22	93.0656
309.311	195.118
309.311	195.118
309.311	195.118
94.0416	424.566
94.0416	424.566
241.906	457.147
241.906	457.147
241.906	457.147
241.906	457.147
327.704	444.955
327.704	444.955
327.704	444.955
344.21	425.419
344.21	425.419
344.21	425.419
333.475	165.598
333.475	165.598
333.475	165.598
333.475	165.598
333.475	165.598
333.475	165.598
455.456	295.649
455.456	295.649
455.456	295.649
455.456	295.649
455.456	295.649
455.456	295.649
362.638	420.297
362.638	420.297
278.421	448.64
278.421	448.64
445.918	307.769
445.918	307.769
445.918	307.769
360.009	183.906
360.009	183.906
85.6616	465.571
424.38	290.78
73.9295	460.628
320.379	424.831
320.379	424.831
320.379	424.831
320.379	424.831
395.788	421.199
395.788	421.199
78.6351	428.265
78.6351	428.265
231.195	184.324
231.195	184.324
231.195	184.324
231.195	184.324
231.195	184.324
231.195	184.324
231.195	184.324
387.171	175.02
42.0402	137.831
42.0402	137.831
283.903	420.559
283.903	420.559
353.797	441.918
353.797	441.918
353.797	441.918
353.797	441.918
374.473	257.266
374.473	257.266
374.473	257.266
377.34	173.189
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
223.845	476.305
397.652	261.211
397.652	261.211
75.0881	109.756
88.428	276.367
88.428	276.367
368.695	319.828
368.695	319.828
368.695	319.828
368.695	319.828
368.695	319.828
368.695	319.828
198.197	430.356
198.197	430.356
115.011	452.689
115.011	452.689
115.011	452.689
375.677	279.753
375.677	279.753
375.677	279.753
401.122	237.821
83.5458	167.991
436.864	406.236
436.864	406.236
436.864	406.236
436.864	406.236
58.1202	170.6
240.067	414.014
240.067	414.014
240.067	414.014
240.067	414.014
365.718	436.163
