First viable solution . This file contains vector of points of the generated path.
X	Y
480.416	24.4414
465.671	40.7778
445.012	49.7427
425.437	46.0212
406.613	44.7876
396.648	43.9505
372.834	44.8388
349.15	45.7998
329.743	49.7273
311.599	54.6862
292.199	60.0528
276.457	62.4124
251.958	66.7442
234.051	68.0863
224.078	68.5401
205.148	70.258
186.255	74.1395
169.251	72.7875
152.669	73.639
133.055	79.156
127.851	102.536
132.415	124.571
129.914	142.824
139.315	154.248
155.4	159.455
166.638	157.353
189.441	151.573
211.095	150.178
219.056	152.341
241.163	156.893
259.514	155.329
274.217	157.614
290.838	161.104
315.169	163.6
333.475	165.598
345.086	174.463
351.954	194.989
354.359	216.649
360.603	233.131
361.9	252.019
365.2	272.265
366.433	279.205
369.459	296.264
368.695	319.828
369.482	343.422
359.777	364.204
353.501	385.231
355.46	396.136
337.782	410.139
319.897	406.483
299.31	407.201
286.801	410.864
269.389	413.539
253.117	417.238
237.21	426.894
227.967	423.079
206.122	429.324
183.918	434.356
161.447	439.092
142.365	445.719
123.265	453.305
115.011	452.689
93.3591	459.95
76.5468	461.785
57.213	463.83
47.8184	467.257
25	475
