First viable solution . This file contains vector of points of the generated path.
X	Y
477.317	26.9901
466.958	45.7413
447.955	58.3767
432.716	53.9655
415.472	52.3046
399.081	48.5884
375.704	49.8427
356.071	60.6044
341.941	62.1177
320.64	65.7242
302.2	68.7644
292.214	68.2334
268.711	66.3226
246.911	70.1891
225.024	63.8769
205.465	60.9387
183.86	63.5755
167.337	72.6483
154.847	92.5555
141.138	110.924
141.16	130.997
144.051	150.708
166.648	153.387
186.641	153.648
203.534	152.31
213.532	152.495
228.858	154.661
253.276	157.992
273.193	168.232
287.025	173.996
306.71	182.175
327.123	188.316
348.071	192.28
353.623	202.055
357.499	219.438
358.372	234.198
359.711	257.466
362.314	274.962
359.302	289.459
353.048	312.501
354.102	334.561
356.305	352.841
350.012	372.791
357.107	396.757
348.219	401.34
330.788	401.418
310.906	401.765
292.96	404.593
275.311	406.851
265.344	406.039
247.259	404.965
233.799	407.828
213.226	415.2
205.256	420.341
185.334	421.115
167.671	427.178
151.32	424.994
138.986	434.709
123.475	440.965
108.662	446.529
90.0952	453.937
76.1316	457.3
54.5923	463.658
41.2969	469.688
25	475
