First viable solution . This file contains vector of points of the generated path.
X	Y
467.057	30.4344
457.057	30.357
433.903	32.6751
415.329	32.0152
405.331	32.1754
381.26	30.2391
371.318	31.3185
348.31	29.1212
332.951	31.5209
323.055	32.9557
305.589	37.7173
285.533	42.0506
268.499	46.8203
253.665	49.4772
230.713	50.5907
210.284	57.9728
187.277	64.1314
174.686	66.0339
156.268	73.3915
137.972	80.2567
131.369	104.272
135.236	126.369
141.464	144.338
143.24	154.179
156.768	166.585
162.482	174.792
178.062	185.837
195.236	195.736
204.465	200.899
225.566	213.727
234.492	218.235
248.836	230.819
255.524	239.652
263.076	244.279
279.152	261.162
297.489	275.877
301.979	288.137
315.245	299.377
321.823	306.22
336.625	324.409
342.207	333.542
352.163	353.365
354.871	372.976
353.233	391.792
355.409	401.564
330.736	400.268
317.724	409.127
303.372	414.582
281.202	410.987
270.611	412.023
246.805	407.822
237.225	406.246
220.759	404.822
201.713	408.135
190.669	429.32
177.408	428.252
158.225	427.999
138.176	436.665
115.541	435.883
98.6189	445.373
81.9404	453.779
62.4575	461.747
48.428	467.63
25	475
