 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
471.784	26.0404
461.616	26.6154
442.484	28.6478
420.514	31.7475
411.196	34.02
388.651	38.2999
374.674	41.2434
355.227	44.9856
334.243	48.7595
318.587	51.3353
296.881	55.0731
277.096	58.9068
256.783	65.723
235.482	70.0817
221.447	73.8596
201.243	79.9033
181.485	84.9744
168.495	86.1621
150.931	93.9084
149.245	103.937
149.184	126.75
148.456	135.059
150.277	158.289
159.189	174.476
168.478	189.818
180.231	209.074
187.395	219.496
200.916	239.884
213.333	257.615
226.708	274.626
235.084	285.344
245.405	296.616
259.674	308.794
274.714	311.847
293.068	320.909
303.069	321.328
313.473	326.965
335.638	335.621
353.225	353.05
353.717	357.571
350.256	379.184
351.694	393.924
349.553	401.936
336.634	403.64
314.169	407.824
300.082	411.042
285.454	414.159
273.373	416.901
249.529	421.181
229.41	425.087
207.069	432.747
187.198	438.423
174.779	442.41
156.931	447.627
137.365	452.234
114.475	454.9
92.9224	460.391
75.8925	464.055
53.9484	469.359
33.0906	473.246
25	475
