 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
470.821	30.2317
451.774	38.0239
438.35	40.8982
424.316	42.5251
408.475	45.1603
385.697	50.226
363.58	53.7428
358.714	53.527
338.146	58.5464
314.725	63.7138
297.754	67.3224
292.214	68.2334
271.044	72.641
260.501	73.568
238.947	75.0219
232.767	75.3752
208.815	79.5658
189.26	88.1103
170.373	93.1679
147.955	100.509
145.264	113.262
148.816	134.902
148.034	148.244
154.407	155.634
165.292	171.479
177.111	190.138
188.675	207.913
193.798	215.983
204.128	231.088
210.438	237.913
221.468	254.176
224.601	259.552
234.918	277.92
244.132	294.683
259.282	308.749
270.083	313.811
291.065	324.77
301.442	331.974
321.774	339.108
331.245	342.317
348.96	348.388
356.305	352.841
354.265	372.746
357.107	396.757
348.219	401.34
338.746	403.863
318.145	405.302
295.248	412.933
272.127	419.437
263.437	422.346
239.575	429.196
225.676	434.016
201.285	437.853
194.266	439.085
176.288	443.016
166.924	444.526
144.392	451.103
121.249	456.014
100.361	460.364
79.8517	463.768
63.1428	466.179
46.246	471.306
25	475
